goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Phoenix,AZ,33.7150071,-112.1129733,4,56,329,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
0,Phoenix,AZ,33.6629442,-112.0182329,4.5,89,391,TRUE,none,,,1,,,,TRUE,,
1,Las Vegas,NV,36.08361283,-115.0327397,3,3,45,TRUE,none,average,casual,1,FALSE,,,FALSE,TRUE,
1,Montral,QC,45.4962215,-73.5776211,3.5,18,18,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,FALSE,
0,Tempe,AZ,33.337104,-111.970377,4.5,87,579,TRUE,none,,,2,,FALSE,,,,
0,Phoenix,AZ,33.458871,-112.077177,4,212,378,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
0,Montral,QC,45.5203886,-73.5870333,4,19,55,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Charlotte,NC,35.2273169,-80.843148,3.5,3,9,TRUE,none,,,,,,,,TRUE,
1,Avondale,AZ,33.4647047,-112.2797426,2.5,10,84,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,,
1,Las Vegas,NV,36.0180728,-115.1185832,4,13,17,TRUE,none,quiet,casual,2,FALSE,TRUE,,FALSE,,TRUE
1,Middleton,WI,43.1014598,-89.5111616,3.5,14,18,TRUE,full_bar,loud,casual,1,FALSE,FALSE,no,TRUE,,
1,Mesa,AZ,33.4203377,-111.8395466,4.5,64,135,TRUE,beer_and_wine,average,,2,,,no,FALSE,,
1,Charlotte,NC,35.16062164,-80.87599945,4,3,11,TRUE,full_bar,average,casual,1,FALSE,FALSE,,FALSE,,
1,Kitchener,ON,43.4538069,-80.5011796,4,29,21,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,36.1624815,-115.1574466,3.5,4,10,TRUE,none,,,1,,,,,,
1,Scottsdale,AZ,33.6405431,-111.9256236,3.5,23,286,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,,
1,Las Vegas,NV,36.2102322,-115.2794155,3.5,39,136,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.1264478,-115.1926856,3.5,89,351,TRUE,none,average,casual,1,FALSE,,,FALSE,FALSE,
1,Las Vegas,NV,36.254519,-115.242815,4,18,17,FALSE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.1267101,-115.213915,4,89,459,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Edinburgh,EDH,55.94914096,-3.189483534,5,9,11,TRUE,full_bar,quiet,dressy,3,FALSE,FALSE,,TRUE,FALSE,
0,Las Vegas,NV,36.1087121,-115.1724729,4,10,70,TRUE,none,,,1,,TRUE,,,,
1,Madison,WI,43.0728935,-89.3956356,4,126,190,TRUE,none,average,casual,1,FALSE,FALSE,outdoor,FALSE,FALSE,TRUE
1,Las Vegas,NV,36.13174,-115.207661,4,136,815,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Mesa,AZ,33.379496,-111.787773,3,21,167,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.089494,-115.138026,3.5,21,133,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Scottsdale,AZ,33.5775051,-111.8859721,3,16,73,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Montral,QC,45.4970408,-73.5731614,4,12,6,TRUE,full_bar,average,casual,3,FALSE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,33.71284559,-112.096467,3,33,69,TRUE,beer_and_wine,average,casual,2,TRUE,TRUE,,TRUE,TRUE,
0,Gilbert,AZ,33.3782692,-111.7720817,3.5,8,190,TRUE,none,,,1,,,,,,
1,Madison,WI,43.0717393,-89.3888272,4,110,150,TRUE,full_bar,average,casual,2,TRUE,TRUE,,TRUE,,
1,Madison,WI,43.074411,-89.3924846,3,6,21,TRUE,full_bar,very_loud,casual,1,FALSE,TRUE,no,FALSE,FALSE,
1,Paradise,NV,36.0422571,-115.1182425,4,25,51,TRUE,none,,casual,1,TRUE,,,FALSE,TRUE,
1,Apache Junction,AZ,33.415885,-111.574489,5,3,8,TRUE,none,quiet,casual,2,FALSE,FALSE,,,FALSE,
1,Henderson,NV,36.063823,-115.0404429,4,5,27,TRUE,none,,casual,1,FALSE,FALSE,,,,
0,North Las Vegas,NV,36.2747732,-115.1804186,4,13,173,TRUE,none,,,2,,,,,,
1,Mesa,AZ,33.413243,-111.684821,3.5,22,50,TRUE,full_bar,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Edinburgh,EDH,55.939002,-3.1802248,4,23,23,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Fort Mill,SC,35.02632,-80.9472,3,18,61,TRUE,full_bar,loud,casual,1,TRUE,TRUE,,TRUE,FALSE,
1,Pineville,NC,35.083984,-80.882776,4,34,128,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
1,Scottsdale,AZ,33.7803604,-111.9257474,4,33,86,TRUE,none,,,1,FALSE,TRUE,,TRUE,,
1,Sun Prairie,WI,43.189194,-89.277587,3.5,33,54,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Phoenix,AZ,33.50983753,-112.0832645,4,9,27,TRUE,none,,,2,,,,,,
0,Tempe,AZ,33.3779199,-111.9405712,4.5,11,13,TRUE,none,,,1,,,,TRUE,,
1,Edinburgh,EDH,55.9585748,-3.1897546,3.5,40,23,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,,
1,Scottsdale,AZ,33.493298,-111.934032,3.5,113,161,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,FALSE
1,Madison,WI,43.0508483,-89.5037617,3,13,4,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Pittsburgh,PA,40.4630298,-79.9515819,4,85,75,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Montral,QC,45.4942876,-73.580311,4.5,8,20,TRUE,none,average,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Charlotte,NC,35.2232404,-80.8465868,3,48,107,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Montreal,QC,45.5030653,-73.5631472,3.5,3,6,TRUE,full_bar,loud,casual,3,FALSE,FALSE,,TRUE,TRUE,
0,Phoenix,AZ,33.5376313,-112.0556489,4.5,49,324,TRUE,none,,,1,,,,TRUE,,
1,Las Vegas,NV,36.055414,-115.241332,4,155,533,TRUE,none,average,casual,2,TRUE,TRUE,,TRUE,TRUE,
1,Las Vegas,NV,36.159901,-115.278969,4,39,56,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Mesa,AZ,33.390567,-111.6903269,4.5,9,44,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Scottsdale,AZ,33.4932316,-111.9240949,4,118,1337,TRUE,full_bar,average,,1,,,outdoor,TRUE,,
1,Las Vegas,NV,36.2490667,-115.2429424,3.5,7,42,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Peoria,AZ,33.5663188,-112.2526443,2.5,3,4,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Charlotte,NC,35.2140232,-80.8353929,2.5,11,76,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Pittsburgh,PA,40.4705879,-79.9569844,4.5,7,17,TRUE,full_bar,average,,1,,,yes,FALSE,,
1,Phoenix,AZ,33.4354634,-112.0069893,3.5,23,98,TRUE,beer_and_wine,average,casual,2,FALSE,,,FALSE,,
1,Peoria,AZ,33.609083,-112.220679,3.5,26,90,FALSE,beer_and_wine,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Pittsburgh,PA,40.452265,-79.951601,3,5,6,TRUE,none,average,,,,,,,,
0,Phoenix,AZ,33.50741,-112.031029,3.5,33,81,TRUE,none,,,3,,,,FALSE,,
1,Scottsdale,AZ,33.4983942,-111.9260148,3.5,8,10,TRUE,full_bar,quiet,dressy,2,FALSE,TRUE,,TRUE,,
1,Tempe,AZ,33.37740326,-111.9086227,3.5,124,241,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,FALSE,TRUE,
0,Charlotte,NC,35.053681,-80.8514579,4.5,88,442,TRUE,none,,,2,,TRUE,,TRUE,,
1,Karlsruhe,BW,49.0074424,8.4139686,4,64,14,TRUE,beer_and_wine,loud,casual,2,FALSE,FALSE,yes,TRUE,FALSE,
1,Scottsdale,AZ,33.5645629,-111.9154217,4,16,8,FALSE,full_bar,,casual,2,FALSE,FALSE,,TRUE,,TRUE
1,Glendale,AZ,33.5675046,-112.1707057,3.5,15,16,FALSE,full_bar,quiet,casual,2,FALSE,FALSE,,FALSE,,
1,Scottsdale,AZ,33.4993863,-111.9265696,4.5,40,354,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Phoenix,AZ,33.5173351,-112.0824688,4,315,738,TRUE,none,average,casual,2,FALSE,TRUE,,TRUE,TRUE,TRUE
0,Pittsburgh,PA,40.46700694,-80.01432671,3.5,7,32,TRUE,none,,,1,,,,FALSE,,
1,North Las Vegas,NV,36.2381044,-115.1197885,3,9,36,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,,
0,Las Vegas,NV,36.1022526,-115.1744785,3,25,98,TRUE,none,,,1,,,,FALSE,,
0,Scottsdale,AZ,33.6238997,-111.9249321,3.5,54,314,TRUE,none,,,1,,,,,,
1,Edinburgh,EDH,55.9760924,-3.168529,4,12,7,TRUE,beer_and_wine,,,2,,,,FALSE,,
1,Las Vegas,NV,36.16939051,-115.1454799,2.5,90,185,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,North Las Vegas,NV,36.2633606,-115.1794688,4,7,3,FALSE,none,,casual,2,,FALSE,,FALSE,,TRUE
1,Edinburgh,EDH,55.9431399,-3.2203572,4.5,15,8,TRUE,beer_and_wine,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Las Vegas,NV,36.1440928,-115.1611434,3.5,304,367,TRUE,full_bar,average,dressy,3,FALSE,FALSE,,FALSE,FALSE,FALSE
1,Charlotte,NC,35.31071258,-80.75062201,4,12,35,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Chandler,AZ,33.26294545,-111.8596,3.5,6,193,TRUE,none,average,formal,1,FALSE,,,FALSE,FALSE,
0,Chandler,AZ,33.3052386,-111.951304,4,8,28,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
1,Mesa,AZ,33.3932821,-111.8684759,2.5,14,121,TRUE,full_bar,average,,1,,,outdoor,FALSE,,
1,Charlotte,NC,35.068652,-80.8414279,3,37,101,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Pittsburgh,PA,40.4272412,-79.9648354,3.5,25,46,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Sun City West,AZ,33.685606,-112.3444871,4,15,12,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,,
1,Las Vegas,NV,36.114539,-115.195684,3,38,156,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Wickenburg,AZ,33.9690851,-112.7294646,1.5,5,11,TRUE,full_bar,quiet,casual,2,FALSE,,no,TRUE,FALSE,
0,Las Vegas,NV,36.2980004,-115.2694685,4.5,4,218,TRUE,none,,,1,,,,,,
0,Phoenix,AZ,33.5224329,-112.0962964,3.5,8,20,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.1174457,-115.2790272,3,16,31,FALSE,none,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
0,Las Vegas,NV,36.08316,-115.145248,2.5,36,94,TRUE,full_bar,loud,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Las Vegas,NV,36.021492,-115.120061,3,3,50,TRUE,none,,casual,1,FALSE,,,,FALSE,
0,Las Vegas,NV,36.2102347,-115.2797316,3.5,9,16,TRUE,none,average,casual,2,TRUE,,,FALSE,TRUE,
0,Las Vegas,NV,36.0550031,-115.2784733,2,14,207,TRUE,none,,,2,,TRUE,,,,
0,Phoenix,AZ,33.6392782,-112.13608,1.5,13,16,TRUE,none,quiet,casual,1,FALSE,,,FALSE,FALSE,
1,Montral,QC,45.504233,-73.5545838,3.5,11,25,TRUE,full_bar,average,casual,3,FALSE,FALSE,,FALSE,FALSE,
1,Bridgeville,PA,40.38229,-80.095557,3,33,106,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Montreal,QC,45.5079412,-73.5607991,4,18,32,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.152857,-80.840461,4,176,308,TRUE,full_bar,average,dressy,3,FALSE,FALSE,,TRUE,TRUE,
1,Montreal,QC,45.5040947,-73.5684047,2.5,9,7,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,,
1,Montral,QC,45.5362411,-73.6133502,4,12,10,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
1,Henderson,NV,36.003868,-115.117593,3.5,72,218,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,TRUE
1,Las Vegas,NV,36.1055815,-115.1733169,4,5,23,TRUE,none,,,3,,,,,,
1,Scottsdale,AZ,33.5733051,-111.8629763,3.5,11,31,TRUE,none,quiet,casual,1,FALSE,FALSE,,TRUE,,
1,Las Vegas,NV,36.1430045,-115.2080092,3,32,276,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
0,Madison,WI,43.124704,-89.30981901,4.5,3,7,TRUE,none,,,2,,,,,,
0,Tempe,AZ,33.394393,-111.977873,4.5,8,20,TRUE,none,,,2,,,,,,
1,Phoenix,AZ,33.5795554,-112.123557,3,39,231,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.450381,-112.117181,4,11,34,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Edinburgh,EDH,55.9493046,-3.1867508,3.5,10,16,TRUE,full_bar,loud,,1,,,outdoor,FALSE,,
0,Phoenix,AZ,33.5837251,-111.9777429,4.5,11,291,TRUE,none,,,1,,,,TRUE,,
1,Scottsdale,AZ,33.6288709,-111.886982,3,24,35,FALSE,beer_and_wine,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
0,Surprise,AZ,33.638254,-112.3114223,4,31,42,TRUE,none,,,2,,,,,,
1,Las Vegas,NV,36.0692146,-115.1779473,3,205,638,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
1,Charlotte,NC,35.150329,-80.925448,3.5,14,95,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
0,Phoenix,AZ,33.50851,-112.235769,3,6,68,TRUE,none,,,2,,,,,,
1,Pittsburgh,PA,40.42045596,-79.85139376,4,30,52,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,33.319566,-111.8901246,3.5,51,254,TRUE,none,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Charlotte,NC,35.197532,-80.826105,3,9,25,TRUE,none,,casual,1,FALSE,,,FALSE,TRUE,
1,Concord,NC,35.3709044,-80.7170369,2.5,22,98,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.464435,-112.030898,4.5,3,7,TRUE,full_bar,,dressy,2,FALSE,TRUE,,FALSE,TRUE,
0,Chandler,AZ,33.21929521,-111.8250234,2.5,5,30,TRUE,none,,,1,,,,,,
1,Glendale,AZ,33.5385422,-112.1781489,2,58,96,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,TRUE
1,Charlotte,NC,35.148108,-80.8318029,3,94,308,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,TRUE
1,Las Vegas,NV,36.067199,-115.1722323,2,66,145,FALSE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,,
1,Edinburgh,EDH,55.9518675,-3.2034169,3.5,33,7,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Las Vegas,NV,36.2631315,-115.2655165,2,7,22,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,yes,TRUE,TRUE,
0,Montral,QC,45.5187125,-73.5778703,4,58,24,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Goodyear,AZ,33.4486957,-112.4267808,4.5,95,373,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Surprise,AZ,33.6385657,-112.3317218,3,21,31,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Pineville,NC,35.07702033,-80.89092241,2,4,8,TRUE,none,,,1,,,,,,
1,Madison,WI,43.072731,-89.393353,4,119,272,TRUE,full_bar,average,casual,2,FALSE,,,TRUE,FALSE,
1,Pittsburgh,PA,40.4426692,-79.998918,3.5,14,10,TRUE,none,quiet,casual,1,,TRUE,,FALSE,,
1,Madison,WI,43.035168,-89.456344,4,39,36,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Pittsburgh,PA,40.4547311,-79.9544515,4,33,39,TRUE,full_bar,quiet,casual,3,TRUE,FALSE,no,TRUE,TRUE,FALSE
0,Scottsdale,AZ,33.5818813,-111.9261111,4.5,4,22,FALSE,full_bar,average,,,,,,,,
1,Charlotte,NC,35.34771064,-80.85858412,3,43,164,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Pointe-Claire,QC,45.46760017,-73.82600055,3.5,16,289,TRUE,full_bar,loud,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Las Vegas,NV,36.079497,-115.101643,4,35,148,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.5834449,-111.9770187,4,143,774,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,TRUE
0,Pittsburgh,PA,40.4514468,-79.983392,4,87,189,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,36.17030844,-115.1458076,3.5,3,4,TRUE,none,,,,FALSE,,,,,
1,Karlsruhe,BW,49.00563914,8.381736026,5,42,11,TRUE,none,average,casual,2,FALSE,TRUE,outdoor,TRUE,,TRUE
1,Champaign,IL,40.1114257,-88.2304288,3,73,73,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,FALSE
0,Phoenix,AZ,33.4155715,-112.0081633,3,53,192,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Peoria,AZ,33.6679775,-112.2781022,4.5,47,122,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.46550369,-112.0824051,3.5,27,166,TRUE,none,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
0,Las Vegas,NV,36.10175705,-115.0541611,3,9,234,TRUE,none,,,2,,TRUE,,,,
1,Karlsruhe,BW,49.00132,8.36659,4,28,4,TRUE,full_bar,,casual,3,FALSE,TRUE,outdoor,TRUE,TRUE,TRUE
1,Tempe,AZ,33.4329724,-111.9043028,3,93,34,FALSE,full_bar,,casual,2,FALSE,TRUE,,TRUE,,
1,Champaign,IL,40.0910571,-88.2457148,3.5,56,44,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,TRUE
1,Verdun,QC,45.4626869,-73.5713902,4,14,7,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
0,Phoenix,AZ,33.4816957,-112.0167503,2,9,85,TRUE,none,,,2,,,,,,
0,Montreal,QC,45.5443334,-73.6355788,4.5,4,13,TRUE,none,,,2,,,,FALSE,,
1,Madison,WI,43.057127,-89.501621,2.5,4,14,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Laval,QC,45.5660717,-73.8261692,4,6,8,TRUE,none,very_loud,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Laval,QC,45.58913684,-73.78737067,4,25,38,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Gold Canyon,AZ,33.358449,-111.467314,2,6,28,TRUE,none,,,,FALSE,,,,,
1,Pittsburgh,PA,40.4309937,-80.0016238,3,60,109,TRUE,full_bar,average,casual,2,TRUE,TRUE,no,TRUE,TRUE,
1,Scottsdale,AZ,33.5652459,-111.9152163,4,83,343,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,TRUE,
1,Waterloo,ON,43.4793516,-80.5211216,4,4,11,TRUE,none,,casual,2,TRUE,,,FALSE,,
1,Las Vegas,NV,36.01107788,-115.1193237,4,212,913,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Tempe,AZ,33.3486761,-111.9277331,3.5,82,86,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,36.061677,-115.243799,4,14,191,TRUE,none,quiet,casual,1,FALSE,,,TRUE,TRUE,
1,Charlotte,NC,35.253617,-80.805361,3.5,18,68,FALSE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Gilbert,AZ,33.364978,-111.805395,4,16,63,TRUE,beer_and_wine,average,,2,,,yes,FALSE,,
0,Urbana,IL,40.1139499,-88.2051605,4,4,18,FALSE,none,,,2,,,,,,
1,Mesa,AZ,33.3796017,-111.601613,2.5,29,200,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.226995,-80.844191,4,11,28,TRUE,none,average,dressy,2,,TRUE,,FALSE,,
1,Las Vegas,NV,36.04334,-115.2432315,2,9,154,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Montral,QC,45.5222283,-73.5844913,4,22,18,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
0,Phoenix,AZ,33.65539905,-112.0304139,5,3,12,TRUE,none,,,1,,,,,,
1,Montreal,QC,45.5183734,-73.5561361,3.5,9,11,TRUE,none,very_loud,casual,2,TRUE,TRUE,,TRUE,,
1,Glendale,AZ,33.6546363,-112.1888101,4,45,48,TRUE,beer_and_wine,quiet,casual,2,FALSE,FALSE,,TRUE,,TRUE
1,Pittsburgh,PA,40.4417932,-79.9571431,3,36,64,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Chandler,AZ,33.33630883,-111.8769774,3.5,6,21,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,,
1,Edinburgh,EDH,55.943215,-3.1780164,5,7,4,TRUE,none,,casual,2,,,,,,TRUE
0,Las Vegas,NV,36.06238555,-115.2433902,4.5,16,32,TRUE,none,,,2,,,,,,
0,Edinburgh,EDH,55.9652343,-3.190008,4,10,17,TRUE,none,average,casual,2,,,,,,
1,Tempe,AZ,33.4329724,-111.9043028,4,77,406,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Charlotte,NC,35.13556368,-80.73800246,5,24,47,FALSE,none,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Las Vegas,NV,36.1689657,-115.1403079,4,363,2235,TRUE,full_bar,average,,2,,TRUE,yes,FALSE,,
1,Scottsdale,AZ,33.5079961,-111.8915642,2,7,83,TRUE,none,,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Charlotte,NC,35.1350268,-80.7366499,3,13,28,TRUE,none,,casual,1,TRUE,TRUE,,FALSE,TRUE,
0,Las Vegas,NV,36.1725319,-115.197258,3,8,13,TRUE,none,loud,casual,1,,TRUE,,FALSE,TRUE,
0,Henderson,NV,36.10296631,-114.9294586,3.5,4,7,FALSE,none,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Phoenix,AZ,33.30598831,-111.9756317,4,5,34,TRUE,none,,,1,,,,,,
0,Montral,QC,45.50232078,-73.57212139,4.5,10,13,TRUE,none,,,2,,,,,,
1,Charlotte,NC,35.1972547,-80.7693723,4.5,11,37,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,,
1,Edinburgh,EDH,55.950776,-3.187635,4,5,9,TRUE,none,quiet,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Phoenix,AZ,33.5982552,-112.0133874,4,9,69,TRUE,full_bar,,,1,,,no,FALSE,,
1,Mesa,AZ,33.4659484,-111.6863302,3,9,20,TRUE,beer_and_wine,average,casual,1,TRUE,,,TRUE,,
1,Laveen,AZ,33.391598,-112.1676066,3,5,18,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Phoenix,AZ,33.5106684,-112.029752,3.5,3,23,TRUE,none,,,2,,,,FALSE,,
1,Las Vegas,NV,36.1100828,-115.1538714,3.5,646,1765,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,TRUE,FALSE,FALSE
1,Chandler,AZ,33.317777,-111.841123,2,9,43,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Mesa,AZ,33.4332983,-111.8701933,2.5,13,80,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.05753,-115.149172,3,8,74,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,,
1,Mesa,AZ,33.415467,-111.832292,4,74,255,FALSE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
0,Las Vegas,NV,36.115413,-115.241307,4,82,890,TRUE,none,,,2,,TRUE,,,,
1,Pittsburgh,PA,40.3940168,-80.0629702,2.5,21,54,TRUE,full_bar,quiet,casual,2,FALSE,FALSE,,FALSE,TRUE,
0,Scottsdale,AZ,33.46489334,-111.9168015,4.5,3,17,TRUE,none,,,2,,,,,,
1,Crafton,PA,40.44087752,-80.06890344,4.5,9,30,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Glendale,AZ,33.6274508,-112.1856677,2.5,14,10,FALSE,none,,casual,1,TRUE,FALSE,,FALSE,FALSE,
1,Phoenix,AZ,33.377003,-112.027016,4,92,145,FALSE,full_bar,average,casual,3,FALSE,TRUE,no,TRUE,TRUE,
1,Mint Hill,NC,35.172179,-80.662766,4,52,159,TRUE,full_bar,average,casual,1,FALSE,FALSE,,TRUE,,
0,Glendale,AZ,33.527333,-112.152022,4.5,3,5,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,36.158517,-115.2436154,3.5,18,111,TRUE,full_bar,average,,1,,,yes,FALSE,,
1,Las Vegas,NV,36.1067075,-115.1775285,2.5,142,408,TRUE,full_bar,loud,,2,,,yes,FALSE,,
1,Charlotte,NC,35.22552851,-80.84409585,3,15,42,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
0,Las Vegas,NV,36.08240913,-115.1478536,3,13,33,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Las Vegas,NV,36.099863,-115.061928,3,11,181,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Mint Hill,NC,35.1722789,-80.6593214,2,6,9,TRUE,none,,,1,FALSE,FALSE,,,,
